BBCMB estimated integrated luminosity = BBCMB*ps/(1500.000 mb)
--> for all runs: 801.574562 nb<sup>-1</sup>
--> for good runs: 743.581801 nb<sup>-1</sup>

ZDCMB estimated integrated luminosity = ZDCMB*ps/(10.959 mb)
--> for all runs: 2141.563318 nb<sup>-1</sup>
--> for good runs: 1934.640498 nb<sup>-1</sup>

VPDMB estimated integrated luminosity = VPDMB*ps/(569.718 mb)
--> for all runs: 811.778132 nb<sup>-1</sup>
--> for good runs: 761.127666 nb<sup>-1</sup>

Total number of runs: 1784
Number of good runs: 1296

Run Index <--> Run Number
************************************
*    Row   *     index *    runnum *
************************************
*      179 *       179 *  16129039 *
*      180 *       180 *  16129043 *
*      181 *       181 *  16129044 *
*      182 *       182 *  16129045 *
*      183 *       183 *  16129046 *
*      184 *       184 *  16129047 *
*      185 *       185 *  16129048 *
*      186 *       186 *  16129049 *
*      187 *       187 *  16129050 *
*      188 *       188 *  16129051 *
*      189 *       189 *  16130001 *
*      190 *       190 *  16130002 *
*      191 *       191 *  16130003 *
*      192 *       192 *  16130004 *
*      193 *       193 *  16130005 *
*      194 *       194 *  16130012 *
*      195 *       195 *  16130013 *
*      196 *       196 *  16130014 *
*      197 *       197 *  16130015 *
*      198 *       198 *  16130016 *
*      199 *       199 *  16130017 *
*      200 *       200 *  16130032 *
*      201 *       201 *  16130033 *
*      202 *       202 *  16130034 *
*      203 *       203 *  16130035 *
*      204 *       204 *  16130036 *
*      205 *       205 *  16130037 *
*      206 *       206 *  16130038 *
*      207 *       207 *  16130039 *
*      208 *       208 *  16130040 *
*      209 *       209 *  16130041 *
*      210 *       210 *  16130042 *
*      211 *       211 *  16130043 *
*      212 *       212 *  16130044 *
*      213 *       213 *  16130045 *
*      214 *       214 *  16130046 *
*      215 *       215 *  16130047 *
*      216 *       216 *  16130048 *
*      217 *       217 *  16130049 *
*      218 *       218 *  16130051 *
*      219 *       219 *  16130052 *
*      220 *       220 *  16130053 *
*      221 *       221 *  16131004 *
*      222 *       222 *  16131005 *
*      223 *       223 *  16131006 *
*      224 *       224 *  16131007 *
*      225 *       225 *  16131008 *
*      226 *       226 *  16131009 *
*      227 *       227 *  16131010 *
*      228 *       228 *  16131011 *
*      229 *       229 *  16131012 *
*      230 *       230 *  16131013 *
*      231 *       231 *  16131014 *
*      232 *       232 *  16131015 *
*      233 *       233 *  16131026 *
*      234 *       234 *  16131028 *
*      235 *       235 *  16131029 *
*      236 *       236 *  16131030 *
*      237 *       237 *  16131031 *
*      238 *       238 *  16131032 *
*      239 *       239 *  16131033 *
*      240 *       240 *  16131034 *
*      241 *       241 *  16131036 *
*      242 *       242 *  16131037 *
*      243 *       243 *  16131039 *
*      244 *       244 *  16131040 *
*      245 *       245 *  16131041 *
*      246 *       246 *  16131042 *
*      247 *       247 *  16131043 *
*      248 *       248 *  16131044 *
*      249 *       249 *  16131045 *
*      250 *       250 *  16131046 *
*      251 *       251 *  16131047 *
*      252 *       252 *  16131048 *
*      253 *       253 *  16131049 *
*      254 *       254 *  16131050 *
*      255 *       255 *  16131054 *
*      256 *       256 *  16131055 *
*      257 *       257 *  16132001 *
*      258 *       258 *  16132002 *
*      259 *       259 *  16132003 *
*      260 *       260 *  16132004 *
*      261 *       261 *  16132021 *
*      262 *       262 *  16132022 *
*      263 *       263 *  16132023 *
*      264 *       264 *  16132024 *
*      265 *       265 *  16132025 *
*      266 *       266 *  16132026 *
*      267 *       267 *  16132027 *
*      268 *       268 *  16132028 *
*      269 *       269 *  16132029 *
*      270 *       270 *  16132030 *
*      271 *       271 *  16132032 *
*      272 *       272 *  16132033 *
*      273 *       273 *  16132046 *
*      274 *       274 *  16132047 *
*      275 *       275 *  16132048 *
*      276 *       276 *  16132049 *
*      277 *       277 *  16132050 *
*      278 *       278 *  16132051 *
*      279 *       279 *  16132052 *
*      280 *       280 *  16132053 *
*      281 *       281 *  16132054 *
*      282 *       282 *  16133001 *
*      283 *       283 *  16133002 *
*      284 *       284 *  16133003 *
*      285 *       285 *  16133004 *
*      286 *       286 *  16133005 *
*      287 *       287 *  16133006 *
*      288 *       288 *  16133007 *
*      289 *       289 *  16133008 *
*      290 *       290 *  16133009 *
*      291 *       291 *  16133010 *
*      292 *       292 *  16133011 *
*      293 *       293 *  16133012 *
*      294 *       294 *  16133013 *
*      295 *       295 *  16133014 *
*      296 *       296 *  16133085 *
*      297 *       297 *  16133086 *
*      298 *       298 *  16133087 *
*      299 *       299 *  16133088 *
*      300 *       300 *  16133089 *
*      301 *       301 *  16133090 *
